Наименование,"Выручка, ₽",ИНН
"ООО ""АЦ КУНЦЕВО""",4 млрд,5032271820
"ООО ""ЖЕЛДОРЭКСПЕДИЦИЯ""",4 млрд,7718725461
"ООО ""ЗООСТАНДАРТ""",4 млрд,7743511752
"ООО ""РУССТРОЙГАРАНТ""",4 млрд,7722813791
МУП УИС,4 млрд,277121421
"ООО ""КМК""",4 млрд,5020077924
"ООО ""ТАТЬЯНА""",4 млрд,6136003867
"ООО ""СЗ ""САМОЛЕТ-ТОМИЛИНО""",4 млрд,5027240182
"ООО ""РПТК""",4 млрд,7814773771
"ООО ""ИНОШЕН ВОЛДВАЙД РУС""",4 млрд,7703679413
"ООО ""МЕТРЕСУРС-С""",4 млрд,6606022356
"ООО ПКО ""ОТЕЧЕСТВЕННЫЙ ПРОДУКТ""",4 млрд,3923002806
"ООО ""СТРОЙ КЕРАМИКА СЕРВИС""",4 млрд,7702516529
"ООО ""МОТЕХС-РУС""",4 млрд,6730028521
"АО ""ТВЭЛ-СТРОЙ""",4 млрд,7726523814
"ООО ""МОСАВТОШИНА""",4 млрд,7716761626
"ООО ""КУДЕЗ""",4 млрд,6612027056
"АО ""МОДНЫЙ КОНТИНЕНТ""",4 млрд,7708663960
"ООО ""КСА ДОЙТАГ ДРИЛЛИНГ""",4 млрд,6501145907
"ООО ""МЕТАЛЛПРОМ""",4 млрд,7456026311
"ООО ""ВИТО-1""",4 млрд,7704167591
"ООО ""СТРОЙСЕРВИС-62""",4 млрд,2015038508
"ООО ""О-СИ-ЭС-СОЛЮШНЗ""",4 млрд,7838478091
"ООО ""КАРТЕЛЬ""",4 млрд,4205155965
"ООО ""КТС""",4 млрд,1650168235
"ООО ""КОНЦЕССИИ ВОДОСНАБЖЕНИЯ""",4 млрд,3460019060
"ООО ""Р.Т.Д.""",4 млрд,5040072018
"ООО ""ТПП ВКУСНЫЕ КОНСЕРВЫ""",4 млрд,5032200315
"ООО ""НПЦ ""ВТД""",4 млрд,5003116972
АО «МОСПРОЕКТ-3»,4 млрд,7707820890
"ООО ""НТТ""",4 млрд,7724929270
"ООО ""ПАПИРЮГ""",4 млрд,2311091741
"АО ""АЯН""",4 млрд,1901003094
"ООО ""ИТЕРН""",4 млрд,5032247137
"ООО ""ЛЮКСОТТИКА РУС""",4 млрд,7743892963
"ООО ""КРЕДО""",4 млрд,7805314355
"ООО ""ВУДФОКС""",4 млрд,2722133885
"ООО ""СК СТРОЙПОДРЯД""",4 млрд,5032295740
ООО СК «ВОСТОК»,4 млрд,7727307982
"ООО ""СОВРЕМЕННЫЕ ТЕХНОЛОГИИ""",4 млрд,7708229993
"ООО ""ЭКСИМ ПАСИФИК""",4 млрд,7728671631
"ООО ""АМЕТИСТ-ЮГ""",4 млрд,2624027906
"ООО ""ГИРД-АВТОФУРГОН""",4 млрд,7415069926
"ООО ""АРАДА""",4 млрд,7726284475
"ООО ""ФИЛАКСКОМ""",4 млрд,7724786430
"ООО ""АМ-ТЕХ""",4 млрд,7709853749
"ООО ""СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ""",4 млрд,2312290690
"ООО ""КЭПТ НАЛОГИ И КОНСУЛЬТИРОВАНИЕ""",4 млрд,7703041155
"ЗАО ""ПК АВТОКОМПОНЕНТ НИЖНИЙ НОВГОРОД""",4 млрд,5256087440
"ООО ""СЛАДКИЙ ОРЕШЕК""",4 млрд,7735503395
"ООО ""МОРДОВВТОРСЫРЬЕ""",4 млрд,1328165460
"ООО ""Р.Л.БРЯНСК""",4 млрд,3249004256
"ОАО ""ЦЕСЛА""",4 млрд,4713000120
"АО ""РИТМ"" ТПТА",4 млрд,6902006851
"ООО ""ФОРПОСТ""",4 млрд,7448028410
"ООО ""МЦ БЕЛОГОРЬЕ""",4 млрд,3123206776
"ООО ЗРМ ""ЧИСТОПОЛЬСКИЙ""",4 млрд,1652023130
"АО ""ДОНУГОЛЬ""",4 млрд,6155008444
"ООО ""ВВС""",4 млрд,3665125693
"ООО ""ПИКАР""",4 млрд,9715379827
"ООО ""ТД ""НОВЫЕ ПОЛИМЕРЫ""",4 млрд,5044096524
"ООО ""МКМ-ЛОГИСТИКА""",4 млрд,7722677115
"ООО ""МЕГАПАК""",4 млрд,5003024954
"ООО ""МК РОСА""",4 млрд,2289000665
"ООО ""АТ ГРУП""",4 млрд,7730016670
"ООО ""ИНСТИТУТ ГИПРОНИКЕЛЬ""",4 млрд,7804349796
"ООО ""ИНТЕСМО""",4 млрд,3448049540
"ОАО ""СЕВЕРОМОРСКИЙ АЛЬЯНС""",4 млрд,5110310861
"ООО АГРОФИРМА ""ПАВЛОВСКАЯ""",4 млрд,5252011169
"ООО ""АГРОФИРМА ""ЗОЛОТАЯ НИВА""",4 млрд,2635049370
"ООО ""ТЗК ВОЛГА""",4 млрд,3444264875
"АО ""СК БСФ""",4 млрд,6515000242
"ООО ""СБСВ-КЛЮЧАВТО БАВАРИЯ КМВ""",4 млрд,2305021873
"ООО ""ТОРГОВЫЙ ДОМ ""РУБЛЕВСКИЙ""",4 млрд,5047042767
"СПБ ГУП ""АТС СМОЛЬНОГО""",4 млрд,7825444176
"ООО ""БАЙКАЛ ГРУПП""",4 млрд,3808194151
"ООО ""СМС ГРУП""",4 млрд,7702721013
"АО ""ПЛЕМЕННОЙ ЗАВОД ""ГАШУНСКИЙ""",4 млрд,6112912380
"ЗАО ПТИЦЕФАБРИКА ""ОКТЯБРЬСКАЯ""",4 млрд,5433128031
"ООО ""ГРАНД КАСТЕЛЬ""",4 млрд,7729681907
"ООО ""МАЭРСК СОЛЮШНС""",4 млрд,7702683368
"ООО ""ТАЙЕРС АВТО""",4 млрд,7721685032
"ООО ""ЭКОЦЕНТР""",4 млрд,3444177534
"ООО ""БИЗНЕС ПАРТНЕР""",4 млрд,5321128019
"ООО ""СМС МЕТРОСТРОЯ""",4 млрд,7721220816
"ООО ""В-ВОСТОК""",4 млрд,7841339690
"АО ""МОБИЛЬНЫЕ ГТЭС""",4 млрд,7706627050
"ООО ""ПМЦ 2015""",4 млрд,3460019045
"ООО ""ЭРРАЙВАЛ РУС""",4 млрд,7814620920
"ООО ""АЗИМУТ""",4 млрд,9705132362
"ООО ""ЗЭМ""",4 млрд,4205152361
"ПАО ""СН-МНГГ""",4 млрд,8605005954
"ООО ""РОССОЙЛ 24""",4 млрд,7801571270
ООО «БЕСТ»,4 млрд,7731384891
"ООО ""ТС СТРОЙ""",4 млрд,7801325370
"ООО ""АЛКОГОЛЬНАЯ РЕГИОНАЛЬНАЯ КОМПАНИЯ""",4 млрд,6330057856
"ООО ""ИНТЕХКАРД""",4 млрд,7701314914
"ООО ""ТЕХСЕРВИС""",4 млрд,7733902355
"ООО ""ВИЛИС""",4 млрд,5321107178
"ООО О ""СРП""",4 млрд,1402011170
"ООО АГРОФИРМА ""ЮЖНАЯ""",4 млрд,2352057820
"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ БЕЛГОРОД""",4 млрд,3124010222
"АО ""ТЭК""",4 млрд,6321211371
"ООО ""НПК МСА""",4 млрд,7842327352
"АО ""САРЫЛАХ-СУРЬМА""",4 млрд,1420002690
"АО ""БЕЛЫЙ РУЧЕЙ""",4 млрд,3508001289
"ООО ""РАЙЗ""",4 млрд,4909906625
"ООО ""БИГ""",4 млрд,7751057596
"АО ""ТК РБ""",4 млрд,7718879609
"АО ""УКВЗ""",4 млрд,7457008989
"ООО ""СИСВ""",4 млрд,7703215813
"ООО ""ФИНИНВЕСТ-Л""",4 млрд,7725497801
"АО ""МД ПРОЕКТ 2000""",4 млрд,7713244771
"ООО ""КОТАНИ""",4 млрд,7725614988
"ООО ""ИСТЕРН СИФУД""",4 млрд,7743090960
"ООО ""ПКФ ""ОКЕАН""",4 млрд,6685102114
"ООО ""ТОРГСЕРВИС 64""",4 млрд,6432017997
"ООО ""КАРАТ""",4 млрд,2311199657
"АО ""ХМЗ""",4 млрд,2464003340
"ООО ""КСИЛЕМ РУС""",4 млрд,7718849900
"ООО ""СТД СТРОЙУДАЧА""",4 млрд,7842151733
"ООО ""ПРЕМЬЕР АВТО""",4 млрд,5006241178
"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЭЛИТ-СТРОЙ""",4 млрд,7715569398
"ООО ""ДОРХАН 21 ВЕК - НОВОСИБИРСК""",4 млрд,5433181980
"ООО ""БУКАЕВ.РУ""",4 млрд,5262220877
"АО ""РУССКИЕ БАШНИ""",4 млрд,7708698177
"ООО ""СИБМОЛ""",4 млрд,7734412811
"ООО ""АГРО-ПАРТНЕР""",4 млрд,2636809993
"ООО ""ТОН-АВТО""",4 млрд,7325070557
"АО ""ИНС""",4 млрд,5603019240
"ООО РА ""КЛАССИК""",4 млрд,7724755320
"ООО ""БУЛАТ""",4 млрд,7724309893
"ООО ""НРК""",4 млрд,7728896650
"ООО ""КВРЗ ""НОВОТРАНС""",4 млрд,2502034127
"ООО ОА ""АВАКС-ПЛЮС""",4 млрд,3811043201
"ООО "" КОНСЕРВНОЕ ПРЕДПРИЯТИЕ РУССКОЕ ПОЛЕ - АЛБАШИ """,4 млрд,2334018297
"АО ""РАМЭК-ВС""",4 млрд,7804060845
"ООО ""РУСТРЕЙДНЕФТЕПРОДУКТ""",4 млрд,7730579249
"ФГУП ""ПВС"" МВД РОССИИ",4 млрд,7715790751
"ООО ""ГЭХ СИСТЕМЫ КОНТРОЛЯ""",4 млрд,7734347760
"ООО ""АВТОМИР-74""",4 млрд,6672224027
"ООО ""НИКА МОТОРС ХОЛДИНГ""",4 млрд,7716518082
"АО ""СЕВ-ЕВРОДРАЙФ""",4 млрд,7804027894
"ООО ""ЦЕНТРГЕКО""",4 млрд,7701370330
"АО ""НЕСКО САНКТ-ПЕТЕРБУРГ""",4 млрд,7806045105
"ООО ""ПРОЕКТНОЕ БЮРО АПЕКС""",4 млрд,7725825428
"ООО ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ""",4 млрд,266027709
"АО ""ЧИРКЕЙГЭССТРОЙ""",4 млрд,533001760
"ООО ""ПГК""",4 млрд,9710017929
"ООО ""ДИВО АЛТАЯ""",4 млрд,2261008093
"АО ""КАМЫШИНСКИЙ СТЕКЛОТАРНЫЙ ЗАВОД""",4 млрд,3436004418
"ООО ""БАКЕЛИТ-ЩЕКИНОАЗОТ""",4 млрд,7118818410
"ООО ""КОРВЕТ""",4 млрд,7721383352
"ООО ""АЛЬФА ИЖЕВСК""",4 млрд,1840011810
"ООО ""СК ЛОТОС""",4 млрд,7813223944
"ООО ""ДТК ЯМАЛ""",4 млрд,8608054484
"ООО ""ЮГ-АВТО ЭКСПЕРТ""",4 млрд,107029073
"ООО ""РЕГИОНСНАБ""",4 млрд,2465248142
"ООО ""КУЛЬТУРА""",4 млрд,3250510962
"ООО ""ВИНЛАБ ХАБАРОВСК""",4 млрд,2723112310
"ООО ""АКРОН ВОЛГА""",4 млрд,6324059238
"АО ""ШЕРЕМЕТЬЕВО-КАРГО""",4 млрд,7712014197
"ООО ""СУЭС""",4 млрд,4501131812
"ООО ""РОНЕТЕК""",4 млрд,7723827846
"ООО ""ДЕРБЕНТСКИЙ ВИННО-КОНЬЯЧНЫЙ КОМБИНАТ""",4 млрд,542028969
"ООО ""А-ФАРМ""",4 млрд,7708124366
"ООО ПК ""АНГСТРЕМ""",4 млрд,3662128110
"ООО ""ДМЛ""",4 млрд,5040071543
"АО ""ЗАВОД ""ДАГДИЗЕЛЬ""",4 млрд,545001919
"ООО ""КУХМАСТЕР""",4 млрд,6367043313
"ООО ""АВТО-СПУТНИК ИМПОРТ""",4 млрд,3666164550
"ООО ""КОРЗИНКА-6""",4 млрд,4824038842
"ООО ""СХП ""НОВОМАРКОВСКОЕ""",4 млрд,3612007551
"ООО ""МАШПРОМКОМПЛЕКТ""",4 млрд,7451408525
"ООО ""БРАУН-ФОРМАН РУС""",4 млрд,7709956984
"ООО ""АГРОПРОМСЕРВИС""",4 млрд,4632175267
"ООО ""НИКА""",4 млрд,6950168838
"ООО ""ЛОКАЛКИТЧЕН""",4 млрд,7716902370
"ООО ""АПК АСТРАХАНСКИЙ""",4 млрд,3023008925
"АО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТОЛИЧНЫЙ КОМПЛЕКС""",4 млрд,7722458402
"ООО ""АЛЬЯНС""",4 млрд,6161094106
"ООО "" НЕВСКИЙ СИНДИКАТ """,4 млрд,7811122010
"ООО ""ОССТЕМ""",4 млрд,7724556324
"ООО ""КОНТУР-НН""",4 млрд,5257158976
"ООО ""ТОРГОВЫЙ ХОЛДИНГ ""ЛОТОС""",4 млрд,1001144078
"ООО ""КЕНМЕР ГРАДНЯ""",4 млрд,7706429877
"ООО ""ВОЛМАГ""",4 млрд,7610101186
"АО ""ССД""",4 млрд,7723005557
"ООО ГК ""АВТОАЛЬФА""",4 млрд,7840071190
"ООО ""ЗКПД ТДСК""",4 млрд,7017026930
"ООО ""СИБТРАКСКАН""",4 млрд,5404410097
"ООО ""ОРИОН""",4 млрд,2465054700
"АО ""АГРОТРАНСКАПИТАЛ""",4 млрд,7329005679
"ООО ""АТЛАНТИК КРАБ""",4 млрд,2536312196
"ООО ""ПОСУДА-ЦЕНТР СЕРВИС""",4 млрд,5405270212
"ООО ""МИР БАКАЛЕИ""",4 млрд,7724189748
"ООО ""НЗНП ИНЖИНИРИНГ""",4 млрд,7726464372
"ООО ""КОМБИНАТ ПИТАНИЯ""",4 млрд,7801499923
"ООО ""ГМЗ ""ЛИСКИНСКИЙ""",4 млрд,3614003249
"ООО ""АМАЙ-ЮГ ПЛЮС""",4 млрд,6165172154
"ООО ""СЛАДКАЯ СЛОБОДА""",4 млрд,4345141169
"ООО ""ВОЛЕЙ ГРАНД""",4 млрд,7708666560
"ООО ""ЮГ-КОЛОС СТ""",4 млрд,2635830946
"ООО ""ФАКТОР-ТС""",4 млрд,7716032944
"ООО ""СЕМХОЗ РАКИТЯНСКИЙ""",4 млрд,3116005187
"ООО ""ПРОМТЕЙП""",4 млрд,5030073750
"ООО ""АНДАНА""",4 млрд,1660353910
"ООО ""РДС СТРОЙ""",4 млрд,7710452533
"ЗАО ""ТРАНС-СТРОЙ""",4 млрд,7725107836
"ООО ""ПВ-ЮГ""",4 млрд,2311238360
"ООО ""БОМЭЗ""",4 млрд,7842440855
"ООО ""ПЛЕЙРИКС""",4 млрд,3525220001
"АО ""БЮРО ВЕРИТАС РУСЬ""",4 млрд,7729055402
"ООО ""НОВА ГРУПП""",4 млрд,2308214062
"ООО ""МЦ-ИРКУТСК""",4 млрд,3811135558
"АО ""МСУ-90""",4 млрд,4714000109
"ООО ""НМК""",4 млрд,721060302
"ПАО ""ВХЗ""",4 млрд,3302000669
ООО «ТАЛАТУ»,4 млрд,7718571300
"ООО ""ЛЮКС ОИЛ""",4 млрд,7814756575
"ООО ""МЯСОКОМБИНАТ ""БЕССОНОВСКИЙ""",4 млрд,3102210309
"АО ""МОСМЕДЫНЬАГРОПРОМ""",4 млрд,4012003451
"ООО ""ТД"" ДОКТОР АППЕТИТ""",4 млрд,5012066742
"ПАО ""ПРОЛЕТАРСКИЙ ЗАВОД""",4 млрд,7811039386
"ООО ""ТЕХНОПРОЕКТ""",4 млрд,7812022931
"ООО ""ТЮМЕНЬМОЛОКО""",4 млрд,7203215660
"ООО ""МАССА""",4 млрд,5017013857
"ООО ""МЕТПРОМПРОЕКТ""",4 млрд,7733613547
"ООО ""БИОВИТРУМ""",4 млрд,7801557131
"ООО ""САНЛАЙТ ЭНЕРДЖИ""",4 млрд,5036153970
"ООО "" ЭСК "" КРАСНОЕ СОРМОВО """,4 млрд,5263057670
"ООО ""ВАЛФЕКС-ПАЙП""",4 млрд,6167133094
"ООО ""ВОСТОКГЕОЛОГИЯ""",4 млрд,7536076678
"ООО ""СОУДАЛ ИНВЕСТМЕНТС""",4 млрд,5031117576
"АО ""ОММЕТ""",4 млрд,5503035087
"АО ""ЮРЭСК""",4 млрд,8601045152
ООО АТОМИ РУС,4 млрд,7728435112
"ООО ""ДЭМ""",4 млрд,5009096987
"ООО ""АГРОГРУПП""",4 млрд,5074058830
"ООО ""МЯСНАЯ КОМПАНИЯ""",4 млрд,1841030252
"ООО ""ЭНЕРГОСТРОЙ""",4 млрд,7842436640
"ООО ""ПРК-ИНВЕСТ""",4 млрд,7708218134
"ЗАО ""ЧЕБОКСАРСКОЕ ПРЕДПРИЯТИЕ ""СЕСПЕЛЬ""",4 млрд,2126002786
"АО ""АГРОНОВА-ОРЕЛ""",4 млрд,5753033526
"ООО ""СМУ-6 МЕТРОСТРОЯ""",4 млрд,7728305770
"ООО ""ФИКС ГРУПП""",4 млрд,7714451322
"ООО ""ЛОТАН""",4 млрд,7729605705
"ООО ""СУРГУТНЕФТЬ""",4 млрд,3666198126
"ООО ""СБСВ-КЛЮЧАВТО ПРЕМИУМ""",4 млрд,2305028251
"АО ""СОМЭКС""",4 млрд,7718122921
"ООО ""АЛЕФФ""",4 млрд,6143065600
"АО ""МКС""",4 млрд,2635001184
"ООО ""СК ""ИМПЕРАТОРСКИЙ ЯХТ-КЛУБ""",4 млрд,7813583601
"ООО ""АЛЬСТРОМ-МУНКШО ТВЕРЬ""",4 млрд,6911024261
"ООО ""ДАП""",4 млрд,6154156344
"ООО ""ИЛАН-НОРИЛЬСК""",4 млрд,2462024987
"АО ""ИНГА""",4 млрд,8601013859
"ООО ""ЗКС""",4 млрд,7423017093
"АО ""БУКА""",4 млрд,7721008908
"АО""РВК""",4 млрд,7841342710
"ООО ""ИНТЕРДИСП РУС""",4 млрд,7710439860
"ООО ""ДИАЛОГ СТОЛИЦА""",4 млрд,7722319430
"ООО ""АГРОСНАБ""",4 млрд,3444109340
"ООО ""РОВЕН-РЕГИОНЫ""",4 млрд,6168030944
"ООО ""ГПН-ЛОГИСТИКА""",4 млрд,8905039538
"АО ""СОРБЕНТ""",4 млрд,5908001417
"ООО ""ДАНЛОП ТАЙР СНГ""",4 млрд,7728629485
"ООО ""ХОРОШЕЕ ДЕЛО. МОРДОВИЯ""",4 млрд,1327007101
"ООО ""ЛАНТАНА-АВТО""",4 млрд,5260338471
"ООО ""ГЛОБУС""",4 млрд,7326012526
"ООО СЗ ""ДНС ДОМ""",4 млрд,2543110000
"ООО ""НИПТ""",4 млрд,5261047845
"ООО ""НЕВАСТАР""",4 млрд,7816282585
"ООО ""ТУГНУЙСКАЯ ОБОГАТИТЕЛЬНАЯ ФАБРИКА""",4 млрд,2466130383
"ООО ""ТК ""КОММАШ - ГРАЗ""",4 млрд,5260143987
"ООО ""ПРОДСНАБАЛТАЙ""",4 млрд,2224073288
"ООО ""САРАНСККАБЕЛЬ-ОПТИКА""",4 млрд,1327153649
"АО ""ММЗ ""ВПЕРЕД""",4 млрд,7720066255
"ООО ""ПАРТНЕР""",4 млрд,4101165662
"ООО ""ТРИТОН""",4 млрд,5012045157
"ООО ""РБС""",4 млрд,7708149360
"ООО ""СПЕКТА ИНТЕРПАК """,4 млрд,7724193494
"ЗАО ""ВЕСТРЫБФЛОТ""",4 млрд,3903000159
"ООО ""ФЛАГМАН""",4 млрд,5246028622
"ООО ""СТАРТРАНС""",4 млрд,7717285458
"АО ""КМ""",4 млрд,5217000301
"ООО ""ТРАНСХИМ""",4 млрд,7713515580
"ООО ""АКТИО РУС""",4 млрд,7725512538
"ООО ""ПРЕМИУМ СПОРТ""",4 млрд,7728898978
"ООО ""ЦМТ""",4 млрд,3652011392
"ООО ""ГК СИТИ""",4 млрд,1832145345
ООО МОНАРХ СИБИРЬ,4 млрд,5403336669
"ООО ""КОНФИТРЕЙД""",3 млрд,7723920806
"ГУП РБ ""УФАВОДОКАНАЛ""",3 млрд,275000238
"ООО ""ТОМСКАЯ НЕФТЬ""",3 млрд,7017287178
"ООО ""ТИНЬКОФФ МОБАЙЛ""",3 млрд,7743200179
"ООО ""СИАС-ТРАКС""",3 млрд,7725163277
"АО ""РОДИНА""",3 млрд,2334006686
"ООО ""ИНКО-БАЛТ""",3 млрд,7805132027
"ООО ""НВ-СЕРВИС""",3 млрд,7725811633
"ООО ""ФК ГРАНД КАПИТАЛ КРАСНОЯРСК""",3 млрд,2463102268
"ООО ""ТК АКСИОН""",3 млрд,6451015113
"ООО ""ДИБОЛД НИКСДОРФ""",3 млрд,7707635872
"ООО ""НОВОМОСКОВСК-РЕМСТРОЙСЕРВИС""",3 млрд,7116018514
"ООО ""РСУ""",3 млрд,608021526
"ООО ""СПМ""",3 млрд,1650250289
"ООО ""АВАНГАРД""",3 млрд,1614006863
"АО ""РОСАГРОЛИЗИНГ""",3 млрд,7704221591
"ООО ""НПО ""ЦЕНТРОТЕХ""",3 млрд,6629020796
"ООО ""КАР АЦ""",3 млрд,7726461389
"АО ""ИНТЕЛМЕД""",3 млрд,7810185761
"ООО ""ДОЗАКЛ""",3 млрд,5007057012
"ООО ""АВТОДОМ""",3 млрд,7327058837
"ООО ""ФАРМ-ПРОЕКТ""",3 млрд,7718984970
"ООО ""ИПСОС КОМКОН""",3 млрд,7725714277
"АО ""ИОНООБМЕННЫЕ ТЕХНОЛОГИИ""",3 млрд,7705373131
"ООО ""ЭЛИНАЛЬФА""",3 млрд,7802336417
"ПАО ""ТД ""ХОЛДИНГ-ЦЕНТР""",3 млрд,7706081452
"АО ""ЖЕЛДОРУЧЕТ""",3 млрд,7451316641
"ООО ""ТКП""",3 млрд,7106087124
"ООО ""ПГС-К""",3 млрд,5406221521
"АО ""ФОДД КОНСТРАКШН""",3 млрд,7729732573
"ООО ""ЖИЛИЩНАЯ ИНИЦИАТИВА""",3 млрд,2221030960
"ООО ""РОТО ФРАНК""",3 млрд,7713273035
"ООО ""РТК-СТ""",3 млрд,9705123456
"АО ""ПСА ВИС-АВТО""",3 млрд,6324050130
"ООО ""ТЕРМИНАЛ""",3 млрд,5817007161
"АО ТОРГОВЫЙ ДОМ ""ГУЛЛИВЕР И КО""",3 млрд,7718159343
"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЛИПЕЦК""",3 млрд,4824003938
"ООО ""ТОРГОВЫЙ ДОМ ""МОСКВОРЕЦКИЙ""",3 млрд,7724665066
"ООО ""ОК ""СШС""",3 млрд,4217126461
"ООО ""ИЗВАРИНО ФАРМА""",3 млрд,5003022562
"ООО ""ПРОФПОТОК""",3 млрд,2308104310
"ООО ""КОНСАЛТ ГРУПП""",3 млрд,9701138733
"ООО ""АРТСТРОЙТЕХНОЛОГИЯ""",3 млрд,7724791180
"ООО ""МАСТЕР КЕМИКАЛЗ""",3 млрд,1655142978
"ООО СК ""СИНЕРГИЯ""",3 млрд,8602019155
"ООО ""ТРЕЙДАГРО""",3 млрд,5405441309
"АО ""УНАГРАНДЕ КОМПАНИ""",3 млрд,3249004697
"АО ""ЭРИДАН""",3 млрд,5190103233
"ООО ""ЭТКПРОЕКТ""",3 млрд,7713724760
"ООО ""АПК-ЧЕРНОЗЕМЬЕ""",3 млрд,4609004337
"ОАО "" ВЛАДМОРРЫБПОРТ""",3 млрд,2537009770
"ООО ""СТОЛИЧНЫЕ ПОСТАВКИ""",3 млрд,7715899269
"ООО ""ГЛАВРЫБТРЕСТ""",3 млрд,7713606686
"ООО ""КРАСНЫЙ КВАДРАТ""",3 млрд,7717595474
"АО ""МЦ НТТ""",3 млрд,7704137364
"ООО ""ЖИЛОЙ КВАРТАЛ""",3 млрд,8619016924
"ООО ""АЛЬТСТРОЙ""",3 млрд,9705078980
"АО ""ИНСТИТУТ ГИПРОСТРОЙМОСТ - САНКТ-ПЕТЕРБУРГ""",3 млрд,7826717210
"ООО ""ДАКОРТ-КРЫМ""",3 млрд,9102000260
"ОАО ""КРАХМАЛОПРОДУКТ""",3 млрд,6812000220
"ООО ""УНИТЕХ""",3 млрд,7736245838
"ООО ""ЛСР. БЕТОН""",3 млрд,7806227507
"ООО НПП ""СПЕЦКАБЕЛЬ""",3 млрд,7701165130
"АО ""ТИКО-ПЛАСТИК""",3 млрд,5214007595
"ООО СК ""ИНТЕРПОЛ""",3 млрд,7451254191
"ООО ""ЛУКОЙЛ-АЭРО-ЗАПАД""",3 млрд,6313538285
"ООО ""НИЖАВТОДОРСТРОЙ""",3 млрд,5250039673
"ООО ""МИТПРОМ""",3 млрд,2223623683
"ООО ""БК-АЛПРОФ""",3 млрд,6142017970
"АО ""ВТС-9""",3 млрд,6367001923
"ООО ""СПЕЦСВЯЗЬРЕСУРС""",3 млрд,5042150800
"ООО ""КЛАУД 7""",3 млрд,2308264930
"ООО ""ФАСТЛЭНД""",3 млрд,7703234453
"ООО ""БЕТА ИЖЕВСК""",3 млрд,1840026895
"ЗАО ""АПК ""СТАВХОЛДИНГ""",3 млрд,2636039293
"АО ""АГРОНОВА-ВОЛГА""",3 млрд,5260125040
"ООО ""АСГ ТЕХНО СТРОЙ""",3 млрд,5032182673
"ООО ""ЛИЗПЛАН РУС""",3 млрд,7705999472
"ООО ""ННК-БАЙКАЛНЕФТЕПРОДУКТ""",3 млрд,323351983
"ООО ""ОЦРВ""",3 млрд,5042060280
"АО ""КСЕНЬЕВСКИЙ ПРИИСК""",3 млрд,7512000197
"ООО ""ВОЛГА""",3 млрд,6330086409
"ООО ""ГЛОБАЛ МЕДИА СОЛЮШЕНС""",3 млрд,7709762467
"АО ""РПК ""РЫБФЛОТ-ФОР""",3 млрд,3908021441
"ООО ""ИЦ ГАЗИНФОРМПЛАСТ""",3 млрд,7017253595
"ЗАО ""ОСТРОВ САХАЛИН""",3 млрд,6501074974
"ООО ""ТАТНЕФТЬ-КАБЕЛЬ""",3 млрд,1611008284
"ООО ""ГРУППА ГРИН РЭЙ""",3 млрд,7710682086
"ЗАО ""БОЛОТНИНСКАЯ ГОФРОТАРА""",3 млрд,5413112964
"ООО ""ЮЖ-РЕГИОН""",3 млрд,7728393543
"ООО ""ЖИВОДАН РУС""",3 млрд,7705832850
"ООО ПО ""СБМ""",3 млрд,266036573
"ООО ""КДЛ ТЕСТ""",3 млрд,7842009783
"ООО ""МИЦ ""ИЗВЕСТИЯ""",3 млрд,7704399970
"ООО ""ЭКОЛОГИЯ-НОВОСИБИРСК""",3 млрд,5410772955
"ООО ""МБК-УРАЛ""",3 млрд,276105593
"ООО ""ТДС""",3 млрд,3904047417
"ООО ""ВОСТОК МОТОРС ЮГ""",3 млрд,8602205391
"ООО ""КРИСТАЛЛ СЕРВИС ИНТЕГРАЦИЯ""",3 млрд,7813230814
"ООО ""ФТК ""СОТРАНС""",3 млрд,7802355025
"ООО ""СТРОЙМЕХАНИЗАЦИЯ""",3 млрд,7448072709
"ООО ""ВТОРМЕТ 69""",3 млрд,6950036292
"ООО ""СЕДРУС""",3 млрд,7709807968
"АО ""КТК""",3 млрд,1101205461
"ООО ""ТВК ""ЮЖНЫЙ""",3 млрд,6102059170
"ООО ""КРОСС ТРЕЙДИНГ""",3 млрд,9702007042
ГУП РК «ВОДА КРЫМА»,3 млрд,9102057281
"ООО ""ГАЗПРОМНЕФТЬ-АВТОМАТИЗАЦИЯ""",3 млрд,8905032469
"ООО ""РБК""",3 млрд,7733857913
"ООО ""ИТ-МО""",3 млрд,7702802784
"АО ""АЭРОПОРТ СУРГУТ""",3 млрд,8602060523
"АО ""СЕРВИС-НЕДВИЖИМОСТЬ""",3 млрд,7814379550
"ООО ""ИНТЕРПАК""",3 млрд,7411021955
"ООО ТД ""ТЕХПРОМ""",3 млрд,7460038503
"ООО ""АЛЬТАИР""",3 млрд,3663065801
"АО ""УФР""",3 млрд,7713545401
ООО «ЧНГ ГАЗИФИКАЦИЯ»,3 млрд,9108121617
"ООО ""БЛУМ""",3 млрд,7721132528
"ООО ""КАСПИАН""",3 млрд,9703009317
